top - 16:48:38 up 2 days,  2:01,  0 users,  load average: 0,38, 0,55, 0,50
Tasks: 274 total,   3 running, 271 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37,9 us,  7,6 sy,  0,0 ni, 54,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7782,7 total,    306,5 free,   2382,3 used,   5093,8 buff/cache
MiB Swap:   2048,0 total,   2047,7 free,      0,2 used.   4954,4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  33341 dead_sp+  20   0 4079148 106972  68076 S  93,8   1,3   0:02.49 vsdbg-ui
  31094 dead_sp+  20   0   50,7g 327688 165092 R  31,2   4,1   1:58.07 code
  31750 dead_sp+  20   0 2891900 306192 161284 S  18,8   3,8   1:04.55 firefox
  27915 dead_sp+  20   0  665772 197712 113380 S  12,5   2,5   1:47.04 code
   1701 dead_sp+  20   0 1249636 179992  73368 S   6,2   2,3   7:23.35 Xorg
  25388 xrdp      20   0   60716  31744  11120 R   6,2   0,4   2:52.01 xrdp
  33410 dead_sp+  20   0   23180   4044   3324 R   6,2   0,1   0:00.01 top
      1 root      20   0  170808  12968   8376 S   0,0   0,2   0:11.39 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.06 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
      9 root      20   0       0      0      0 S   0,0   0,0   0:00.30 ksoftir+
     10 root      20   0       0      0      0 I   0,0   0,0   0:15.84 rcu_sch+
     11 root      rt   0       0      0      0 S   0,0   0,0   0:00.47 migrati+
     12 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     14 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     16 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     17 root      rt   0       0      0      0 S   0,0   0,0   0:00.57 migrati+
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.26 ksoftir+
     20 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0,0   0,0   0:00.57 migrati+
